timestamp,hr,spo2,temp,acc_x,acc_y,acc_z
14:49:10,67,97,34.53,0.99,-0.02,0.22,4.5
14:49:10,66,98,34.67,0.98,-0.02,0.22,4.5
14:49:10,66,98,34.86,0.98,-0.02,0.22,4.5
14:49:10,64,97,34.44,0.98,-0.02,0.22,4.5
14:49:10,68,97,34.67,0.99,-0.01,0.21,4.5
14:49:10,66,98,34.44,0.99,-0.02,0.21,4.5
14:49:10,66,97,34.72,0.99,-0.02,0.22,4.5
14:49:10,65,98,34.67,0.98,-0.02,0.22,4.5
14:49:10,67,97,34.62,0.98,-0.02,0.23,4.5
14:49:10,64,98,34.72,0.99,-0.02,0.21,4.5
14:49:10,68,97,34.72,0.98,-0.02,0.22,4.5
14:49:10,68,97,34.62,0.99,-0.01,0.22,4.5
14:49:10,65,97,34.62,0.98,-0.02,0.22,4.5
14:49:11,65,99,34.86,0.99,-0.04,0.15,4.5
14:49:11,67,98,34.48,0.98,-0.02,0.23,4.5
14:49:11,66,97,34.67,0.98,-0.02,0.22,4.5
14:49:11,65,98,34.67,0.98,-0.02,0.22,4.5
14:49:11,67,99,34.72,0.98,-0.02,0.21,4.5
14:49:11,68,97,34.53,0.98,-0.01,0.23,4.5
14:49:11,68,98,34.67,0.98,-0.02,0.21,4.5
14:49:11,68,98,34.48,0.99,-0.02,0.22,4.5
14:49:11,68,99,34.48,0.98,-0.01,0.22,4.5
14:49:11,65,98,34.53,0.98,-0.02,0.23,4.5
14:49:11,65,98,34.81,0.98,-0.02,0.22,4.5
14:49:11,67,98,34.48,0.98,-0.02,0.23,4.5
14:49:11,67,97,34.72,0.98,-0.02,0.22,4.5
14:49:11,66,97,34.67,0.98,-0.02,0.22,4.5
14:49:11,66,97,34.67,0.99,-0.02,0.22,4.5
14:49:11,66,97,34.62,0.98,-0.02,0.22,4.5
14:49:11,68,98,34.48,0.98,-0.02,0.22,4.5
14:49:11,68,99,34.48,0.98,-0.02,0.22,4.5
14:49:11,68,98,34.72,0.98,-0.02,0.23,4.5
14:49:11,67,99,34.72,0.98,-0.02,0.22,4.5
14:49:11,67,98,34.62,0.98,-0.02,0.23,4.5
